修正原因,建议动作,原因
上升趋势中恐慌洗盘，原始下跌改上涨,保守保留，需补2025覆盖,只在2026触发，缺少2025稳定性证据
常规环境但弱趋势强反弹，原始上涨改下跌,保守保留，需补2025覆盖,只在2026触发，缺少2025稳定性证据
常规环境但短线破位，原始上涨改下跌,保守保留，需补2025覆盖,只在2026触发，缺少2025稳定性证据
常规环境但高位上涨乏力，原始上涨改下跌,保守保留，需补2025覆盖,只在2026触发，缺少2025稳定性证据
平稳高位横盘，原始下跌改上涨,观察,只在2025触发，缺少2026稳定性证据
弱势反弹但个股弱于行业，原始上涨改下跌,保守保留，需补2025覆盖,只在2026触发，缺少2025稳定性证据
弱势延续且当日继续大面积下跌，原始上涨改下跌,保守保留，需补2025覆盖,只在2026触发，缺少2025稳定性证据
强分歧弱回调且行业超跌，原始下跌改上涨,观察,只在2025触发，缺少2026稳定性证据
强分歧弱回调但个股相对强，原始上涨改下跌,观察,只在2025触发，缺少2026稳定性证据
强反弹但上涨置信度不足，原始上涨改下跌,保留,跨年份都有样本且降噪后净增正确数为正
强行业补涨环境，原始下跌改上涨,观察,只在2025触发，缺少2026稳定性证据
强趋势回调且中小盘仍在高位，原始下跌改上涨,观察,只在2025触发，缺少2026稳定性证据
恐慌但弱势延续未形成，原始下跌改上涨,保守保留，需补2025覆盖,只在2026触发，缺少2025稳定性证据
恐慌释放且弱势延续，并且大中小盘20日趋势转弱，原始上涨改下跌,保守保留，需补2025覆盖,只在2026触发，缺少2025稳定性证据
指数20日趋势转弱且弱反弹，原始上涨改下跌,观察,只在2025触发，缺少2026稳定性证据
指数尚稳但中小盘转弱，原始上涨改下跌,观察,只在2025触发，缺少2026稳定性证据
短线冲高且个股显著强于行业，原始上涨改下跌,观察,只在2025触发，缺少2026稳定性证据
趋势回调但行业相对强，原始下跌改上涨,观察,"2025,2026 降噪后触发样本少于20"
过热回落高且指数高位延伸，上涨概率<80%，原始上涨改下跌,保守保留，需补2025覆盖,只在2026触发，缺少2025稳定性证据
高位强趋势且行业强，原始下跌改上涨,保守保留，需补2025覆盖,只在2026触发，缺少2025稳定性证据
高位横盘分化且强势行业不足，原始上涨改下跌,观察,只在2025触发，缺少2026稳定性证据
