交易所,板块,代码,市场代码,名称,空字段f1,最新价,涨跌额,涨跌幅,流通市场代码,成交量,成交额,振幅,最高,昨收,最低,今开,量比,换手率,市盈率,市净率,行业,地域板块,概念题材
上交所,沪市主板,600000,1,浦发银行,2,9.03,-0.06,-0.66,2,777140,703348399.0,0.99,9.11,9.09,9.02,9.08,0.85,0.23,4.21,0.4,银行Ⅱ,上海板块,"长江三角,互联网金融,蚂蚁概念,跨境支付"
上交所,沪市主板,600004,1,白云机场,2,8.53,-0.05,-0.58,2,116612,100037360.0,1.63,8.64,8.58,8.5,8.59,0.68,0.49,32.78,1.04,航空机场,广东板块,"粤港自贸,央国企改革,免税概念"
上交所,沪市主板,600006,1,东风股份,2,6.72,-0.14,-2.04,2,152093,102720620.0,1.9,6.84,6.86,6.71,6.83,0.69,0.76,16.35,1.68,商用车,湖北板块,"燃料电池概念,央国企改革,一带一路,人工智能,无人驾驶,冷链物流,氢能源,新能源车,车联网(车路云),地摊经济,湖北自贸,汽车芯片,汽车整车,汽车一体化压铸,新型工业化,首发经济,电池技术"
上交所,沪市主板,600007,1,中国国贸,2,21.84,-0.46,-2.06,2,34146,75227182.0,2.69,22.38,22.3,21.78,22.21,1.11,0.34,18.0,2.19,房地产开发,北京板块,
上交所,沪市主板,600008,1,首创环保,2,3.13,0.02,0.64,2,964323,301512663.0,1.93,3.15,3.11,3.09,3.11,1.21,1.31,13.37,1.09,环境治理,北京板块,"节能环保,央国企改革,PPP模式,海绵城市,雄安新区,垃圾分类,医废处理,REITs概念,绿色电力,地下管网,土壤修复,机器人概念,DeepSeek概念"
上交所,沪市主板,600009,1,上海机场,2,27.01,-0.22,-0.81,2,100455,271776702.0,0.88,27.25,27.23,27.01,27.23,0.88,0.49,29.08,1.56,航空机场,上海板块,"长江三角,上海自贸,央国企改革,免税概念,零售概念"
上交所,沪市主板,600010,1,包钢股份,2,2.77,-0.11,-3.82,2,10616180,2965783972.0,4.86,2.89,2.88,2.75,2.88,1.09,3.38,-67.78,2.43,普钢,内蒙古,"稀土永磁,西部大开发,央国企改革,氟化工概念,小金属概念,一带一路,华为概念,数据中心,雅下水电概念"
上交所,沪市主板,600011,1,华能国际,2,7.64,0.16,2.14,2,2197752,1669077996.0,3.34,7.68,7.48,7.43,7.53,1.58,2.0,6.69,1.71,电力,河北板块,"核能核电,光伏概念,风能,央国企改革,一带一路,雄安新区,绿色电力,超超临界发电"
上交所,沪市主板,600012,1,皖通高速,2,16.04,0.1,0.63,2,36022,57811618.0,2.57,16.16,15.94,15.75,15.88,0.84,0.31,12.77,2.05,铁路公路,安徽板块,央国企改革
上交所,沪市主板,600015,1,华夏银行,2,6.58,-0.06,-0.9,2,993620,655402337.0,1.66,6.66,6.64,6.55,6.64,0.83,0.65,5.25,0.33,银行Ⅱ,北京板块,"互联网金融,蚂蚁概念,跨境支付"
上交所,沪市主板,600016,1,民生银行,2,3.68,-0.01,-0.27,2,1175353,433091889.0,0.54,3.7,3.69,3.68,3.69,0.72,0.33,3.5,0.28,银行Ⅱ,北京板块,"参股券商,互联网金融,跨境支付"
上交所,沪市主板,600017,1,日照港,2,2.97,0.0,0.0,2,309945,92127599.0,1.01,2.99,2.97,2.96,2.98,1.11,1.01,23.95,0.65,航运港口,山东板块,"央国企改革,一带一路"
